study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	fastq_bytes	fastq_ftp
PRJNA396019	SAMN07459296	SRS2414200	SRX3069878	SRR5908311	9606	Homo sapiens	Illumina HiSeq 4000	KTN3100	PAIRED	41894079;4352545657;4712915333	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908311/SRR5908311.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908311/SRR5908311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908311/SRR5908311_2.fastq.gz
PRJNA396019	SAMN07459295	SRS2414201	SRX3069877	SRR5908312	9606	Homo sapiens	Illumina HiSeq 4000	KTN316Blood	PAIRED	32354786;4438694523;4805101502	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908312/SRR5908312.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908312/SRR5908312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908312/SRR5908312_2.fastq.gz
PRJNA396019	SAMN07459298	SRS2414202	SRX3069876	SRR5908313	9606	Homo sapiens	Illumina HiSeq 4000	KTN310Blood	PAIRED	29476940;4013379474;4319230790	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908313/SRR5908313.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908313/SRR5908313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908313/SRR5908313_2.fastq.gz
PRJNA396019	SAMN07459297	SRS2414203	SRX3069875	SRR5908314	9606	Homo sapiens	Illumina HiSeq 4000	KTN3102	PAIRED	90759556;5349146843;6014866901	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908314/SRR5908314.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908314/SRR5908314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908314/SRR5908314_2.fastq.gz
PRJNA396019	SAMN07459311	SRS2414204	SRX3069874	SRR5908315	9606	Homo sapiens	Illumina HiSeq 4000	KTN3020	PAIRED	63690469;4741077697;5226129065	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908315/SRR5908315.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908315/SRR5908315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908315/SRR5908315_2.fastq.gz
PRJNA396019	SAMN07459312	SRS2414205	SRX3069873	SRR5908316	9606	Homo sapiens	Illumina HiSeq 4000	KTN3022	PAIRED	44660034;4514394213;4857893189	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908316/SRR5908316.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908316/SRR5908316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908316/SRR5908316_2.fastq.gz
PRJNA396019	SAMN07459309	SRS2414206	SRX3069872	SRR5908317	9606	Homo sapiens	Illumina HiSeq 4000	KTN215OP	PAIRED	48286423;4074568970;4411900709	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908317/SRR5908317.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908317/SRR5908317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908317/SRR5908317_2.fastq.gz
PRJNA396019	SAMN07459310	SRS2414207	SRX3069871	SRR5908318	9606	Homo sapiens	Illumina HiSeq 4000	KTN215Blood	PAIRED	67123645;2903825540;3087029568	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908318/SRR5908318.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908318/SRR5908318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908318/SRR5908318_2.fastq.gz
PRJNA396019	SAMN07459315	SRS2414208	SRX3069870	SRR5908319	9606	Homo sapiens	Illumina HiSeq 4000	KTN3040	PAIRED	112600558;5735173734;6285557618	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908319/SRR5908319.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908319/SRR5908319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908319/SRR5908319_2.fastq.gz
PRJNA396019	SAMN07459316	SRS2414209	SRX3069869	SRR5908320	9606	Homo sapiens	Illumina HiSeq 4000	KTN3042	PAIRED	43935754;3478034917;3705946775	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908320/SRR5908320.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908320/SRR5908320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908320/SRR5908320_2.fastq.gz
PRJNA396019	SAMN07459313	SRS2414211	SRX3069868	SRR5908321	9606	Homo sapiens	Illumina HiSeq 4000	KTN302OP	PAIRED	58707604;3958639756;4257544505	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908321/SRR5908321.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908321/SRR5908321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908321/SRR5908321_2.fastq.gz
PRJNA396019	SAMN07459314	SRS2414210	SRX3069867	SRR5908322	9606	Homo sapiens	Illumina HiSeq 4000	KTN302Blood	PAIRED	39871805;3190775967;3526540566	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908322/SRR5908322.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908322/SRR5908322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908322/SRR5908322_2.fastq.gz
PRJNA396019	SAMN07459355	SRS2414212	SRX3069866	SRR5908323	9606	Homo sapiens	Illumina HiSeq 4000	KTN115OP	PAIRED	140314330;13253167670;14802082271	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908323/SRR5908323.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908323/SRR5908323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908323/SRR5908323_2.fastq.gz
PRJNA396019	SAMN07459356	SRS2414213	SRX3069865	SRR5908324	9606	Homo sapiens	Illumina HiSeq 4000	KTN115Blood	PAIRED	59663042;2677547728;4122564889	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908324/SRR5908324.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908324/SRR5908324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908324/SRR5908324_2.fastq.gz
PRJNA396019	SAMN07459317	SRS2414220	SRX3069864	SRR5908325	9606	Homo sapiens	Illumina HiSeq 4000	KTN304OP	PAIRED	49934756;3723551489;4022072196	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908325/SRR5908325.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908325/SRR5908325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908325/SRR5908325_2.fastq.gz
PRJNA396019	SAMN07459318	SRS2414221	SRX3069863	SRR5908326	9606	Homo sapiens	Illumina HiSeq 4000	KTN304Blood	PAIRED	52160915;3252601374;3495939227	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908326/SRR5908326.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908326/SRR5908326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908326/SRR5908326_2.fastq.gz
PRJNA396019	SAMN07459351	SRS2414222	SRX3069862	SRR5908327	9606	Homo sapiens	Illumina HiSeq 4000	KTN129OP	PAIRED	67481875;5493409298;7293155342	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908327/SRR5908327.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908327/SRR5908327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908327/SRR5908327_2.fastq.gz
PRJNA396019	SAMN07459352	SRS2414223	SRX3069861	SRR5908328	9606	Homo sapiens	Illumina HiSeq 4000	KTN129Blood	PAIRED	71454900;3268440578;5106315368	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908328/SRR5908328.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908328/SRR5908328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908328/SRR5908328_2.fastq.gz
PRJNA396019	SAMN07459349	SRS2414224	SRX3069860	SRR5908329	9606	Homo sapiens	Illumina HiSeq 4000	KTN1290	PAIRED	70969198;4365898415;6186944071	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908329/SRR5908329.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908329/SRR5908329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908329/SRR5908329_2.fastq.gz
PRJNA396019	SAMN07459350	SRS2414225	SRX3069859	SRR5908330	9606	Homo sapiens	Illumina HiSeq 4000	KTN1292	PAIRED	74962760;3041456527;4700358369	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908330/SRR5908330.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908330/SRR5908330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908330/SRR5908330_2.fastq.gz
PRJNA396019	SAMN07459329	SRS2414226	SRX3069858	SRR5908331	9606	Homo sapiens	Illumina HiSeq 4000	KTN155OP	PAIRED	122502393;8965607934;9005367474	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908331/SRR5908331.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908331/SRR5908331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908331/SRR5908331_2.fastq.gz
PRJNA396019	SAMN07459330	SRS2414227	SRX3069857	SRR5908332	9606	Homo sapiens	Illumina HiSeq 4000	KTN155Blood	PAIRED	55085254;4906345890;4979294243	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908332/SRR5908332.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908332/SRR5908332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908332/SRR5908332_2.fastq.gz
PRJNA396019	SAMN07459331	SRS2414228	SRX3069856	SRR5908333	9606	Homo sapiens	Illumina HiSeq 4000	KTN2060	PAIRED	54030669;5501940760;5381710971	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908333/SRR5908333.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908333/SRR5908333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908333/SRR5908333_2.fastq.gz
PRJNA396019	SAMN07459332	SRS2414229	SRX3069855	SRR5908334	9606	Homo sapiens	Illumina HiSeq 4000	KTN206OP	PAIRED	81196384;7396215977;7437117406	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908334/SRR5908334.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908334/SRR5908334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908334/SRR5908334_2.fastq.gz
PRJNA396019	SAMN07459333	SRS2414231	SRX3069854	SRR5908335	9606	Homo sapiens	Illumina HiSeq 4000	KTN206Blood	PAIRED	88202953;6348669002;6579463722	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908335/SRR5908335.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908335/SRR5908335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908335/SRR5908335_2.fastq.gz
PRJNA396019	SAMN07459334	SRS2414232	SRX3069853	SRR5908336	9606	Homo sapiens	Illumina HiSeq 4000	KTN2100	PAIRED	79074086;5935078566;5998823147	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908336/SRR5908336.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908336/SRR5908336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908336/SRR5908336_2.fastq.gz
PRJNA396019	SAMN07459335	SRS2414230	SRX3069852	SRR5908337	9606	Homo sapiens	Illumina HiSeq 4000	KTN210OP	PAIRED	57706890;6034526311;5813953659	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908337/SRR5908337.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908337/SRR5908337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908337/SRR5908337_2.fastq.gz
PRJNA396019	SAMN07459336	SRS2414234	SRX3069851	SRR5908338	9606	Homo sapiens	Illumina HiSeq 4000	KTN210Blood	PAIRED	55065034;4623223055;4641760340	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908338/SRR5908338.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908338/SRR5908338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908338/SRR5908338_2.fastq.gz
PRJNA396019	SAMN07459337	SRS2414233	SRX3069850	SRR5908339	9606	Homo sapiens	Illumina HiSeq 4000	KTN1520	PAIRED	56935472;3177174031;4694661748	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908339/SRR5908339.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908339/SRR5908339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908339/SRR5908339_2.fastq.gz
PRJNA396019	SAMN07459338	SRS2414236	SRX3069849	SRR5908340	9606	Homo sapiens	Illumina HiSeq 4000	KTN1522	PAIRED	64745108;3168618988;4763960281	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908340/SRR5908340.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908340/SRR5908340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908340/SRR5908340_2.fastq.gz
PRJNA396019	SAMN07459328	SRS2414237	SRX3069848	SRR5908341	9606	Homo sapiens	Illumina HiSeq 4000	KTN1550	PAIRED	37657230;4622558975;4521921014	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908341/SRR5908341.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908341/SRR5908341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908341/SRR5908341_2.fastq.gz
PRJNA396019	SAMN07459320	SRS2414238	SRX3069847	SRR5908342	9606	Homo sapiens	Illumina HiSeq 4000	KTN126OP	PAIRED	62959866;4058689141;5085834182	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908342/SRR5908342.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908342/SRR5908342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908342/SRR5908342_2.fastq.gz
PRJNA396019	SAMN07459319	SRS2414235	SRX3069846	SRR5908343	9606	Homo sapiens	Illumina HiSeq 4000	KTN1260	PAIRED	46068772;3256145278;4069808510	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908343/SRR5908343.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908343/SRR5908343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908343/SRR5908343_2.fastq.gz
PRJNA396019	SAMN07459308	SRS2414239	SRX3069845	SRR5908344	9606	Homo sapiens	Illumina HiSeq 4000	KTN215-0	PAIRED	58123629;4187190331;4526114879	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908344/SRR5908344.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908344/SRR5908344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908344/SRR5908344_2.fastq.gz
PRJNA396019	SAMN07459307	SRS2414241	SRX3069844	SRR5908345	9606	Homo sapiens	Illumina HiSeq 4000	KTN612Blood	PAIRED	43251934;4599814038;4665498629	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908345/SRR5908345.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908345/SRR5908345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908345/SRR5908345_2.fastq.gz
PRJNA396019	SAMN07459324	SRS2414240	SRX3069843	SRR5908346	9606	Homo sapiens	Illumina HiSeq 4000	KTN615Blood	PAIRED	84216316;3548694479;4310812448	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908346/SRR5908346.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908346/SRR5908346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908346/SRR5908346_2.fastq.gz
PRJNA396019	SAMN07459323	SRS2414242	SRX3069842	SRR5908347	9606	Homo sapiens	Illumina HiSeq 4000	KTN6152	PAIRED	62865210;4082330337;4804276123	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908347/SRR5908347.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908347/SRR5908347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908347/SRR5908347_2.fastq.gz
PRJNA396019	SAMN07459326	SRS2414244	SRX3069841	SRR5908348	9606	Homo sapiens	Illumina HiSeq 4000	KTN147OP	PAIRED	54995602;5493218068;5517551004	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908348/SRR5908348.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908348/SRR5908348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908348/SRR5908348_2.fastq.gz
PRJNA396019	SAMN07459325	SRS2414243	SRX3069840	SRR5908349	9606	Homo sapiens	Illumina HiSeq 4000	KTN1470	PAIRED	57069915;5695817488;5701058654	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908349/SRR5908349.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908349/SRR5908349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908349/SRR5908349_2.fastq.gz
PRJNA396019	SAMN07459302	SRS2414245	SRX3069839	SRR5908350	9606	Homo sapiens	Illumina HiSeq 4000	KTN6090	PAIRED	92279609;5486786226;5609145633	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908350/SRR5908350.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908350/SRR5908350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908350/SRR5908350_2.fastq.gz
PRJNA396019	SAMN07459301	SRS2414246	SRX3069838	SRR5908351	9606	Homo sapiens	Illumina HiSeq 4000	KTN501Blood	PAIRED	31958024;3333317364;3364566756	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908351/SRR5908351.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908351/SRR5908351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5908351/SRR5908351_2.fastq.gz
PRJNA396019	SAMN07459300	SRS2414249	SRX3069837	SRR5908352	9606	Homo sapiens	Illumina HiSeq 4000	KTN501OP	PAIRED	93108296;5864732645;6103402774	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908352/SRR5908352.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908352/SRR5908352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5908352/SRR5908352_2.fastq.gz
PRJNA396019	SAMN07459299	SRS2414248	SRX3069836	SRR5908353	9606	Homo sapiens	Illumina HiSeq 4000	KTN5010	PAIRED	66390482;4221819792;4319711617	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908353/SRR5908353.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908353/SRR5908353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5908353/SRR5908353_2.fastq.gz
PRJNA396019	SAMN07459306	SRS2414247	SRX3069835	SRR5908354	9606	Homo sapiens	Illumina HiSeq 4000	KTN612OP	PAIRED	44283899;4481271319;4615068914	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908354/SRR5908354.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908354/SRR5908354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/004/SRR5908354/SRR5908354_2.fastq.gz
PRJNA396019	SAMN07459305	SRS2414250	SRX3069834	SRR5908355	9606	Homo sapiens	Illumina HiSeq 4000	KTN6120	PAIRED	70554501;5152815079;5311318768	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908355/SRR5908355.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908355/SRR5908355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908355/SRR5908355_2.fastq.gz
